mdb.load (2) cost time: 1.180563ms
mdb.load (0) cost time: 1.206966ms
mdb.load (1) cost time: 1.228299ms
mdb.load success.
mdb.load (3) cost time: 1.340579ms
2014/09/28 14:37:35 [I] - load global_announcement
2014/09/28 14:37:35 [I] - load global_arena_rank
2014/09/28 14:37:35 [I] - load global_mail
2014/09/28 14:37:35 [I] - load global_mail_attachments
2014/09/28 14:37:35 [I] - load global_tb_xxd_onlinecnt
2014/09/28 14:37:35 [I] - load player_global_arena_rank
2014/09/28 14:37:35 [I] - load player_global_arena_rank
2014/09/28 14:37:35 [I] - load player_global_arena_rank
2014/09/28 14:37:35 [I] - load player_global_friend
2014/09/28 14:37:35 [I] - load player_global_friend
2014/09/28 14:37:35 [I] - load player_global_arena_rank
2014/09/28 14:37:35 [I] - load player_global_friend
2014/09/28 14:37:35 [I] - load player_global_friend_chat
2014/09/28 14:37:35 [I] - load player_global_friend_chat
2014/09/28 14:37:35 [I] - load player_global_friend_chat
2014/09/28 14:37:35 [I] - load player_global_friend
2014/09/28 14:37:35 [I] - load player_global_friend_state
2014/09/28 14:37:35 [I] - load player_global_friend_state
2014/09/28 14:37:35 [I] - load player_global_friend_state
2014/09/28 14:37:35 [I] - load player_global_friend_chat
2014/09/28 14:37:35 [I] - load player_global_mail_state
2014/09/28 14:37:35 [I] - load player_global_mail_state
2014/09/28 14:37:35 [I] - load player_global_mail_state
2014/09/28 14:37:35 [I] - load player_global_friend_state
2014/09/28 14:37:35 [I] - load player_global_mail_state
mdb.load (2) cost time: 13.298597ms
mdb.load (0) cost time: 13.355293ms
mdb.load (1) cost time: 13.654512ms
mdb.load (3) cost time: 13.295228ms
mdb.load success.
2014/09/28 14:37:38 [I] - load player
2014/09/28 14:37:38 [I] - load player
2014/09/28 14:37:38 [I] - load player
2014/09/28 14:37:38 [I] - load player_arena
2014/09/28 14:37:38 [I] - load player
2014/09/28 14:37:38 [I] - load player_arena
2014/09/28 14:37:38 [I] - load player_arena_record
2014/09/28 14:37:38 [I] - load player_arena_record
2014/09/28 14:37:38 [I] - load player_arena
2014/09/28 14:37:38 [I] - load player_arena
2014/09/28 14:37:38 [I] - load player_battle_pet
2014/09/28 14:37:38 [I] - load player_battle_pet
2014/09/28 14:37:38 [I] - load player_arena_record
2014/09/28 14:37:38 [I] - load player_arena_record
2014/09/28 14:37:38 [I] - load player_battle_pet
