mdb.load (1) cost time: 305.018753ms
mdb.load (2) cost time: 305.015612ms
mdb.load (0) cost time: 304.995543ms
mdb.load success.
mdb.load (3) cost time: 305.046049ms
2014/10/30 11:18:11 [I] - load player
2014/10/30 11:18:11 [I] - load player
2014/10/30 11:18:11 [I] - load player
2014/10/30 11:18:11 [I] - load player
2014/10/30 11:18:11 [I] - load player_activity
2014/10/30 11:18:11 [I] - load player_activity
2014/10/30 11:18:11 [I] - load player_activity
2014/10/30 11:18:11 [I] - load player_activity
2014/10/30 11:18:11 [I] - load player_arena
2014/10/30 11:18:11 [I] - load player_arena
2014/10/30 11:18:11 [I] - load player_arena
2014/10/30 11:18:11 [I] - load player_arena
2014/10/30 11:18:11 [I] - load player_arena_record
2014/10/30 11:18:11 [I] - load player_arena_record
2014/10/30 11:18:11 [I] - load player_arena_record
2014/10/30 11:18:11 [I] - load player_arena_record
2014/10/30 11:18:11 [I] - load player_battle_pet
2014/10/30 11:18:11 [I] - load player_battle_pet
2014/10/30 11:18:11 [I] - load player_battle_pet
2014/10/30 11:18:11 [I] - load player_battle_pet
2014/10/30 11:18:11 [I] - load player_battle_pet_config
2014/10/30 11:18:11 [I] - load player_battle_pet_config
2014/10/30 11:18:11 [I] - load player_battle_pet_config
2014/10/30 11:18:11 [I] - load player_battle_pet_config
2014/10/30 11:18:11 [I] - load player_chest_state
2014/10/30 11:18:11 [I] - load player_chest_state
2014/10/30 11:18:11 [I] - load player_chest_state
2014/10/30 11:18:11 [I] - load player_chest_state
2014/10/30 11:18:11 [I] - load player_coins
2014/10/30 11:18:11 [I] - load player_coins
2014/10/30 11:18:11 [I] - load player_coins
2014/10/30 11:18:11 [I] - load player_coins
2014/10/30 11:18:11 [I] - load player_daily_quest
2014/10/30 11:18:11 [I] - load player_daily_quest
2014/10/30 11:18:11 [I] - load player_daily_quest
2014/10/30 11:18:11 [I] - load player_daily_quest
2014/10/30 11:18:11 [I] - load player_daily_sign_in_record
2014/10/30 11:18:11 [I] - load player_daily_sign_in_record
2014/10/30 11:18:11 [I] - load player_daily_sign_in_record
2014/10/30 11:18:11 [I] - load player_daily_sign_in_record
2014/10/30 11:18:11 [I] - load player_daily_sign_in_state
2014/10/30 11:18:11 [I] - load player_daily_sign_in_state
2014/10/30 11:18:11 [I] - load player_daily_sign_in_state
2014/10/30 11:18:11 [I] - load player_daily_sign_in_state
2014/10/30 11:18:11 [I] - load player_equipment
2014/10/30 11:18:11 [I] - load player_equipment
2014/10/30 11:18:11 [I] - load player_equipment
2014/10/30 11:18:11 [I] - load player_equipment
2014/10/30 11:18:11 [I] - load player_event_award_record
2014/10/30 11:18:11 [I] - load player_event_award_record
2014/10/30 11:18:11 [I] - load player_event_award_record
2014/10/30 11:18:11 [I] - load player_event_award_record
2014/10/30 11:18:11 [I] - load player_events_fight_power
2014/10/30 11:18:11 [I] - load player_events_fight_power
2014/10/30 11:18:11 [I] - load player_events_fight_power
2014/10/30 11:18:11 [I] - load player_events_fight_power
2014/10/30 11:18:11 [I] - load player_extend_level
2014/10/30 11:18:11 [I] - load player_extend_level
2014/10/30 11:18:11 [I] - load player_extend_level
2014/10/30 11:18:11 [I] - load player_extend_level
2014/10/30 11:18:11 [I] - load player_fashion
2014/10/30 11:18:11 [I] - load player_fashion
2014/10/30 11:18:11 [I] - load player_fashion
2014/10/30 11:18:11 [I] - load player_fashion
2014/10/30 11:18:11 [I] - load player_fashion_state
2014/10/30 11:18:11 [I] - load player_fashion_state
2014/10/30 11:18:11 [I] - load player_fashion_state
2014/10/30 11:18:11 [I] - load player_fashion_state
2014/10/30 11:18:11 [I] - load player_fight_num
2014/10/30 11:18:11 [I] - load player_fight_num
2014/10/30 11:18:11 [I] - load player_fight_num
2014/10/30 11:18:11 [I] - load player_fight_num
2014/10/30 11:18:11 [I] - load player_formation
2014/10/30 11:18:11 [I] - load player_formation
2014/10/30 11:18:11 [I] - load player_formation
2014/10/30 11:18:11 [I] - load player_formation
2014/10/30 11:18:11 [I] - load player_func_key
2014/10/30 11:18:11 [I] - load player_func_key
2014/10/30 11:18:11 [I] - load player_func_key
2014/10/30 11:18:11 [I] - load player_func_key
2014/10/30 11:18:11 [I] - load player_ghost
2014/10/30 11:18:11 [I] - load player_ghost
2014/10/30 11:18:11 [I] - load player_ghost
2014/10/30 11:18:11 [I] - load player_ghost
2014/10/30 11:18:11 [I] - load player_ghost_equipment
2014/10/30 11:18:11 [I] - load player_ghost_equipment
2014/10/30 11:18:11 [I] - load player_ghost_equipment
2014/10/30 11:18:11 [I] - load player_ghost_equipment
2014/10/30 11:18:11 [I] - load player_ghost_state
2014/10/30 11:18:11 [I] - load player_ghost_state
2014/10/30 11:18:11 [I] - load player_ghost_state
2014/10/30 11:18:11 [I] - load player_ghost_state
2014/10/30 11:18:11 [I] - load player_ghost_umbra
2014/10/30 11:18:11 [I] - load player_ghost_umbra
2014/10/30 11:18:11 [I] - load player_ghost_umbra
2014/10/30 11:18:11 [I] - load player_ghost_umbra
2014/10/30 11:18:11 [I] - load player_hard_level
2014/10/30 11:18:11 [I] - load player_hard_level
2014/10/30 11:18:11 [I] - load player_hard_level
2014/10/30 11:18:11 [I] - load player_hard_level
2014/10/30 11:18:11 [I] - load player_hard_level_record
2014/10/30 11:18:11 [I] - load player_hard_level_record
