PlayerRegister|1|2014-09-26 20:10:22|game_1_app_id|1|_test_id1003022414061086775|6295||HTML5||WiFi|0|0|0|0||0|||
PlayerLogin|1|2014-09-26 20:10:22|game_1_app_id|1|_test_id1003022414061086775|1|0|6295||HTML5||WiFi|0|0|0|0||0|||
PlayerGuideFlow|1|2014-09-26 20:10:23|game_1_app_id|1|_test_id1003022414061086775|1|19|0|0
GameSvrState|2014-09-26 20:10:25|127.0.0.1
PlayerLogin|1|2014-09-26 20:11:07|game_1_app_id|1|_test_id1003022414061086775|1|0|0.98|macos|intel|xxx|wifi|0|0|0.999999111|0|intel 001|1024|opengl 0.1|4.3|mac 10.94
PlayerGuideFlow|1|2014-09-26 20:11:12|game_1_app_id|1|_test_id1003022414061086775|1|0|0|0
MoneyFlow|1|2014-09-26 20:11:12|0|game_1_app_id|1|_test_id1003022414061086775|1|10|10|26|0|0|0|0
GameSvrState|2014-09-26 20:11:25|127.0.0.1
PlayerPhysicalFlow|1|2014-09-26 20:11:46|game_1_app_id|1|_test_id1003022414061086775|1|97|3|0|11|1
PlayerMissionFlow|1|2014-09-26 20:11:46|game_1_app_id|1|_test_id1003022414061086775|1|0|4|100100|100100|0|0
MoneyFlow|1|2014-09-26 20:11:51|0|game_1_app_id|1|_test_id1003022414061086775|1|20|10|26|0|0|0|0
PlayerGuideFlow|1|2014-09-26 20:11:57|game_1_app_id|1|_test_id1003022414061086775|1|1|0|0
PlayerGuideFlow|1|2014-09-26 20:12:18|game_1_app_id|1|_test_id1003022414061086775|1|2|0|0
GameSvrState|2014-09-26 20:12:25|127.0.0.1
MoneyFlow|1|2014-09-26 20:12:44|0|game_1_app_id|1|_test_id1003022414061086775|1|420|400|2|0|0|0|0
PlayerExpFlow|1|2014-09-26 20:12:44|game_1_app_id|1|_test_id1003022414061086775|10|1|2|0|4|0|0
PlayerPhysicalFlow|1|2014-09-26 20:12:44|game_1_app_id|1|_test_id1003022414061086775|2|94|3|0|11|1
PlayerMissionFlow|1|2014-09-26 20:12:44|game_1_app_id|1|_test_id1003022414061086775|2|0|4|100100|100110|0|1
PlayerGuideFlow|1|2014-09-26 20:12:44|game_1_app_id|1|_test_id1003022414061086775|2|4|0|0
MoneyFlow|1|2014-09-26 20:12:50|0|game_1_app_id|1|_test_id1003022414061086775|2|430|10|26|0|0|0|0
PlayerGuideFlow|1|2014-09-26 20:13:04|game_1_app_id|1|_test_id1003022414061086775|2|21|0|0
PlayerPhysicalFlow|1|2014-09-26 20:13:12|game_1_app_id|1|_test_id1003022414061086775|2|91|3|0|11|1
PlayerMissionFlow|1|2014-09-26 20:13:12|game_1_app_id|1|_test_id1003022414061086775|2|0|3|100110|100110|0|0
MoneyFlow|1|2014-09-26 20:13:14|0|game_1_app_id|1|_test_id1003022414061086775|2|450|20|26|0|0|0|0
GameSvrState|2014-09-26 20:13:25|127.0.0.1
PlayerGuideFlow|1|2014-09-26 20:13:36|game_1_app_id|1|_test_id1003022414061086775|2|4|0|0
PlayerExpFlow|1|2014-09-26 20:13:46|game_1_app_id|1|_test_id1003022414061086775|30|2|3|0|5|0|0
MoneyFlow|1|2014-09-26 20:13:46|0|game_1_app_id|1|_test_id1003022414061086775|3|2450|2000|26|0|0|0|0
PlayerPhysicalFlow|1|2014-09-26 20:13:46|game_1_app_id|1|_test_id1003022414061086775|3|111|20|0|7|0
ItemFlow|1|2014-09-26 20:13:46|0|game_1_app_id|1|_test_id1003022414061086775|12|262|1|1|14|0|0|0
ItemFlow|1|2014-09-26 20:13:50|0|game_1_app_id|1|_test_id1003022414061086775|3|31|1|1|10|0|0|0
ItemFlow|1|2014-09-26 20:13:51|0|game_1_app_id|1|_test_id1003022414061086775|3|33|1|1|10|0|0|0
MoneyFlow|1|2014-09-26 20:13:51|0|game_1_app_id|1|_test_id1003022414061086775|3|2750|300|2|0|0|0|0
PlayerExpFlow|1|2014-09-26 20:13:51|game_1_app_id|1|_test_id1003022414061086775|20|3|4|0|4|0|0
PlayerPhysicalFlow|1|2014-09-26 20:13:51|game_1_app_id|1|_test_id1003022414061086775|4|94|17|0|11|1
PlayerMissionFlow|1|2014-09-26 20:13:51|game_1_app_id|1|_test_id1003022414061086775|4|0|3|100110|110100|0|1
MoneyFlow|1|2014-09-26 20:13:51|0|game_1_app_id|1|_test_id1003022414061086775|4|2770|20|26|0|0|0|0
MoneyFlow|1|2014-09-26 20:13:56|0|game_1_app_id|1|_test_id1003022414061086775|4|4770|2000|26|0|0|0|0
ItemFlow|1|2014-09-26 20:13:56|0|game_1_app_id|1|_test_id1003022414061086775|2|231|1|1|14|0|0|0
ItemFlow|1|2014-09-26 20:13:56|0|game_1_app_id|1|_test_id1003022414061086775|8|209|5|5|14|0|0|0
PlayerGuideFlow|1|2014-09-26 20:14:02|game_1_app_id|1|_test_id1003022414061086775|4|5|0|0
ItemFlow|1|2014-09-26 20:14:21|0|game_1_app_id|1|_test_id1003022414061086775|2|231|0|1|23|0|1|0
MoneyFlow|1|2014-09-26 20:14:21|0|game_1_app_id|1|_test_id1003022414061086775|4|4270|500|3|0|1|0|0
PlayerGuideFlow|1|2014-09-26 20:14:24|game_1_app_id|1|_test_id1003022414061086775|4|22|0|0
GameSvrState|2014-09-26 20:14:25|127.0.0.1
GameSvrState|2014-09-26 20:15:25|127.0.0.1
GameSvrState|2014-09-26 20:16:25|127.0.0.1
GameSvrState|2014-09-26 20:17:25|127.0.0.1
GameSvrState|2014-09-26 20:18:25|127.0.0.1
PlayerPhysicalFlow|1|2014-09-26 20:18:51|game_1_app_id|1|_test_id1003022414061086775|4|100|1|0|3|0
GameSvrState|2014-09-26 20:19:25|127.0.0.1
GameSvrState|2014-09-26 20:20:25|127.0.0.1
GameSvrState|2014-09-26 20:21:25|127.0.0.1
GameSvrState|2014-09-26 20:22:25|127.0.0.1
GameSvrState|2014-09-26 20:23:25|127.0.0.1
